"";"lemma";"ministre";"spec";"n"
"17755";"spectre";"Nicolas Hulot";-0,1074;NA
"17756";"spirale";"Nicolas Hulot";-0,1074;NA
"17757";"sponsor";"Nicolas Hulot";-0,1074;NA
"17758";"stagnation";"Nicolas Hulot";-0,1074;NA
"17759";"stagner";"Nicolas Hulot";-0,1074;NA
"17760";"starter";"Nicolas Hulot";-0,1074;NA
"17761";"stationnaire";"Nicolas Hulot";-0,1074;NA
"17762";"sterne";"Nicolas Hulot";-0,1074;NA
"17763";"stigmate";"Nicolas Hulot";-0,1074;NA
"17764";"storage";"Nicolas Hulot";-0,1074;NA
"17765";"store";"Nicolas Hulot";-0,1074;NA
"17766";"submerger";"Nicolas Hulot";-0,1074;NA
"17767";"subsidiaire";"Nicolas Hulot";-0,1074;NA
"17768";"substitut";"Nicolas Hulot";-0,1074;NA
"17769";"substrat";"Nicolas Hulot";-0,1074;NA
"17770";"subtropical";"Nicolas Hulot";-0,1074;NA
"17771";"subventionné";"Nicolas Hulot";-0,1074;NA
"17772";"sucrerie";"Nicolas Hulot";-0,1074;NA
"17773";"sucrier";"Nicolas Hulot";-0,1074;NA
"17774";"sueur";"Nicolas Hulot";-0,1074;NA
"17775";"suffoquer";"Nicolas Hulot";-0,1074;NA
"17776";"suiveur";"Nicolas Hulot";-0,1074;NA
"17777";"superlatif";"Nicolas Hulot";-0,1074;NA
"17778";"supersonique";"Nicolas Hulot";-0,1074;NA
"17779";"supportable";"Nicolas Hulot";-0,1074;NA
"17780";"surabondance";"Nicolas Hulot";-0,1074;NA
"17781";"surchauffe";"Nicolas Hulot";-0,1074;NA
"17782";"surenchère";"Nicolas Hulot";-0,1074;NA
"17783";"surplus";"Nicolas Hulot";-0,1074;NA
"17784";"surprise";"Nicolas Hulot";-0,1074;NA
"17785";"surveillant";"Nicolas Hulot";-0,1074;NA
"17786";"suspect";"Nicolas Hulot";-0,1074;NA
"17787";"suspens";"Nicolas Hulot";-0,1074;NA
"17788";"suspensif";"Nicolas Hulot";-0,1074;NA
"17789";"symptomatique";"Nicolas Hulot";-0,1074;NA
"17790";"synchroniser";"Nicolas Hulot";-0,1074;NA
"17791";"syrien";"Nicolas Hulot";-0,1074;NA
"17792";"systématisé";"Nicolas Hulot";-0,1074;NA
"17793";"tabler";"Nicolas Hulot";-0,1074;NA
"17794";"tacite";"Nicolas Hulot";-0,1074;NA
"17795";"taire";"Nicolas Hulot";-0,1074;NA
"17796";"tamis";"Nicolas Hulot";-0,1074;NA
"17797";"tampon";"Nicolas Hulot";-0,1074;NA
"17798";"tan";"Nicolas Hulot";-0,1074;NA
"17799";"taquin";"Nicolas Hulot";-0,1074;NA
"17800";"tarifer";"Nicolas Hulot";-0,1074;NA
"17801";"tartre";"Nicolas Hulot";-0,1074;NA
"17802";"tata";"Nicolas Hulot";-0,1074;NA
"17803";"taxonomie";"Nicolas Hulot";-0,1074;NA
"17804";"techno";"Nicolas Hulot";-0,1074;NA
"17805";"teinte";"Nicolas Hulot";-0,1074;NA
"17806";"téléchargeable";"Nicolas Hulot";-0,1074;NA
"17807";"télécom";"Nicolas Hulot";-0,1074;NA
"17808";"télémétrie";"Nicolas Hulot";-0,1074;NA
"17809";"téléspectateur";"Nicolas Hulot";-0,1074;NA
"17810";"télévisé";"Nicolas Hulot";-0,1074;NA
"17811";"ténacité";"Nicolas Hulot";-0,1074;NA
"17812";"ténor";"Nicolas Hulot";-0,1074;NA
"17813";"ternir";"Nicolas Hulot";-0,1074;NA
"17814";"terrasser";"Nicolas Hulot";-0,1074;NA
"17815";"tesla";"Nicolas Hulot";-0,1074;NA
"17816";"théâtral";"Nicolas Hulot";-0,1074;NA
"17817";"thérapeutique";"Nicolas Hulot";-0,1074;NA
"17818";"tiède";"Nicolas Hulot";-0,1074;NA
"17819";"timide";"Nicolas Hulot";-0,1074;NA
"17820";"tirage";"Nicolas Hulot";-0,1074;NA
"17821";"tireur";"Nicolas Hulot";-0,1074;NA
"17822";"tolérable";"Nicolas Hulot";-0,1074;NA
"17823";"tolérant";"Nicolas Hulot";-0,1074;NA
"17824";"tonnage";"Nicolas Hulot";-0,1074;NA
"17825";"tonus";"Nicolas Hulot";-0,1074;NA
"17826";"topo";"Nicolas Hulot";-0,1074;NA
"17827";"topographique";"Nicolas Hulot";-0,1074;NA
"17828";"torpeur";"Nicolas Hulot";-0,1074;NA
"17829";"toulonnais";"Nicolas Hulot";-0,1074;NA
"17830";"tourmenter";"Nicolas Hulot";-0,1074;NA
"17831";"tournis";"Nicolas Hulot";-0,1074;NA
"17832";"toxicologique";"Nicolas Hulot";-0,1074;NA
"17833";"tracter";"Nicolas Hulot";-0,1074;NA
"17834";"tracteur";"Nicolas Hulot";-0,1074;NA
"17835";"traducteur";"Nicolas Hulot";-0,1074;NA
"17836";"trafiquer";"Nicolas Hulot";-0,1074;NA
"17837";"tranchée";"Nicolas Hulot";-0,1074;NA
"17838";"transat";"Nicolas Hulot";-0,1074;NA
"17839";"transatlantique";"Nicolas Hulot";-0,1074;NA
"17840";"transcription";"Nicolas Hulot";-0,1074;NA
"17841";"transmissible";"Nicolas Hulot";-0,1074;NA
"17842";"transocéanique";"Nicolas Hulot";-0,1074;NA
"17843";"transpondeur";"Nicolas Hulot";-0,1074;NA
"17844";"transverse";"Nicolas Hulot";-0,1074;NA
"17845";"travée";"Nicolas Hulot";-0,1074;NA
"17846";"tribord";"Nicolas Hulot";-0,1074;NA
"17847";"triplé";"Nicolas Hulot";-0,1074;NA
"17848";"tristesse";"Nicolas Hulot";-0,1074;NA
"17849";"troc";"Nicolas Hulot";-0,1074;NA
"17850";"tromperie";"Nicolas Hulot";-0,1074;NA
"17851";"troposphérique";"Nicolas Hulot";-0,1074;NA
"17852";"troué";"Nicolas Hulot";-0,1074;NA
"17853";"trouer";"Nicolas Hulot";-0,1074;NA
"17854";"tsunami";"Nicolas Hulot";-0,1074;NA
"17855";"tuilerie";"Nicolas Hulot";-0,1074;NA
"17856";"tulle";"Nicolas Hulot";-0,1074;NA
"17857";"tunisien";"Nicolas Hulot";-0,1074;NA
"17858";"tutélaire";"Nicolas Hulot";-0,1074;NA
"17859";"ukrainien";"Nicolas Hulot";-0,1074;NA
"17860";"unilatéral";"Nicolas Hulot";-0,1074;NA
"17861";"unitaire";"Nicolas Hulot";-0,1074;NA
"17862";"urbaniser";"Nicolas Hulot";-0,1074;NA
"17863";"us";"Nicolas Hulot";-0,1074;NA
"17864";"usinage";"Nicolas Hulot";-0,1074;NA
"17865";"ustensile";"Nicolas Hulot";-0,1074;NA
"17866";"usure";"Nicolas Hulot";-0,1074;NA
"17867";"utopie";"Nicolas Hulot";-0,1074;NA
"17868";"vaisseau";"Nicolas Hulot";-0,1074;NA
"17869";"vanneau";"Nicolas Hulot";-0,1074;NA
"17870";"vasière";"Nicolas Hulot";-0,1074;NA
"17871";"vau";"Nicolas Hulot";-0,1074;NA
"17872";"ventilé";"Nicolas Hulot";-0,1074;NA
"17873";"ventiler";"Nicolas Hulot";-0,1074;NA
"17874";"véracité";"Nicolas Hulot";-0,1074;NA
"17875";"vérifiable";"Nicolas Hulot";-0,1074;NA
"17876";"vertige";"Nicolas Hulot";-0,1074;NA
"17877";"vertigo";"Nicolas Hulot";-0,1074;NA
"17878";"vestimentaire";"Nicolas Hulot";-0,1074;NA
"17879";"vibrant";"Nicolas Hulot";-0,1074;NA
"17880";"vibrer";"Nicolas Hulot";-0,1074;NA
"17881";"vicomte";"Nicolas Hulot";-0,1074;NA
"17882";"vidéaste";"Nicolas Hulot";-0,1074;NA
"17883";"vidéosurveillance";"Nicolas Hulot";-0,1074;NA
"17884";"vieillesse";"Nicolas Hulot";-0,1074;NA
"17885";"vigile";"Nicolas Hulot";-0,1074;NA
"17886";"vigoureux";"Nicolas Hulot";-0,1074;NA
"17887";"villa";"Nicolas Hulot";-0,1074;NA
"17888";"violation";"Nicolas Hulot";-0,1074;NA
"17889";"visser";"Nicolas Hulot";-0,1074;NA
"17890";"vivable";"Nicolas Hulot";-0,1074;NA
"17891";"voile";"Nicolas Hulot";-0,1074;NA
"17892";"voiler";"Nicolas Hulot";-0,1074;NA
"17893";"voisiner";"Nicolas Hulot";-0,1074;NA
"17894";"volatilité";"Nicolas Hulot";-0,1074;NA
"17895";"voltige";"Nicolas Hulot";-0,1074;NA
"17896";"vorace";"Nicolas Hulot";-0,1074;NA
"17897";"vosgien";"Nicolas Hulot";-0,1074;NA
"17898";"w";"Nicolas Hulot";-0,1074;NA
"17899";"watt";"Nicolas Hulot";-0,1074;NA
"17900";"yachting";"Nicolas Hulot";-0,1074;NA
"17901";"zeppelin";"Nicolas Hulot";-0,1074;NA
"17902";"zip";"Nicolas Hulot";-0,1074;NA
"17903";"zonage";"Nicolas Hulot";-0,1074;NA
"17904";"zonal";"Nicolas Hulot";-0,1074;NA
"17905";"actualisation";"François de Rugy";-0,1382;1
"17906";"ajusté";"François de Rugy";-0,1382;1
"17907";"allégation";"François de Rugy";-0,1382;1
"17908";"arabe";"François de Rugy";-0,1382;1
"17909";"arbitrage";"François de Rugy";-0,1382;1
"17910";"baver";"François de Rugy";-0,1382;1
"17911";"bienfait";"François de Rugy";-0,1382;1
"17912";"blessé";"François de Rugy";-0,1382;1
"17913";"bonifier";"François de Rugy";-0,1382;1
"17914";"centraliser";"François de Rugy";-0,1382;1
"17915";"citadin";"François de Rugy";-0,1382;1
"17916";"collecteur";"François de Rugy";-0,1382;1
"17917";"combiné";"François de Rugy";-0,1382;1
"17918";"condensation";"François de Rugy";-0,1382;1
"17919";"contradiction";"François de Rugy";-0,1382;1
"17920";"coton";"François de Rugy";-0,1382;1
"17921";"coupler";"François de Rugy";-0,1382;1
"17922";"dame";"François de Rugy";-0,1382;1
"17923";"défenseur";"François de Rugy";-0,1382;1
"17924";"déontologie";"François de Rugy";-0,1382;1
"17925";"description";"François de Rugy";-0,1382;1
"17926";"distinction";"François de Rugy";-0,1382;1
"17927";"distingué";"François de Rugy";-0,1382;1
"17928";"dom";"François de Rugy";-0,1382;1
"17929";"enfermer";"François de Rugy";-0,1382;1
"17930";"enfouir";"François de Rugy";-0,1382;1
"17931";"enthousiasme";"François de Rugy";-0,1382;1
"17932";"envahissant";"François de Rugy";-0,1382;1
"17933";"épreuve";"François de Rugy";-0,1382;1
"17934";"esplanade";"François de Rugy";-0,1382;1
"17935";"essuyer";"François de Rugy";-0,1382;1
"17936";"foisonner";"François de Rugy";-0,1382;1
"17937";"fonctionnaire";"François de Rugy";-0,1382;1
"17938";"fréquenté";"François de Rugy";-0,1382;1
"17939";"genevois";"François de Rugy";-0,1382;1
"17940";"gonflage";"François de Rugy";-0,1382;1
"17941";"gorge";"François de Rugy";-0,1382;1
"17942";"habiliter";"François de Rugy";-0,1382;1
"17943";"heurter";"François de Rugy";-0,1382;1
"17944";"homogène";"François de Rugy";-0,1382;1
"17945";"homologué";"François de Rugy";-0,1382;1
"17946";"huis";"François de Rugy";-0,1382;1
"17947";"incertain";"François de Rugy";-0,1382;1
"17948";"incroyable";"François de Rugy";-0,1382;1
"17949";"ininterrompu";"François de Rugy";-0,1382;1
"17950";"internaute";"François de Rugy";-0,1382;1
"17951";"journalière";"François de Rugy";-0,1382;1
"17952";"kérosène";"François de Rugy";-0,1382;1
"17953";"kilo";"François de Rugy";-0,1382;1
"17954";"lame";"François de Rugy";-0,1382;1
"17955";"leu";"François de Rugy";-0,1382;1
"17956";"lion";"François de Rugy";-0,1382;1
"17957";"lucide";"François de Rugy";-0,1382;1
"17958";"marche";"François de Rugy";-0,1382;1
"17959";"médecine";"François de Rugy";-0,1382;1
"17960";"mention";"François de Rugy";-0,1382;1
"17961";"migratoire";"François de Rugy";-0,1382;1
"17962";"monoprix";"François de Rugy";-0,1382;1
"17963";"motard";"François de Rugy";-0,1382;1
"17964";"multitude";"François de Rugy";-0,1382;1
"17965";"nationalité";"François de Rugy";-0,1382;1
"17966";"panache";"François de Rugy";-0,1382;1
"17967";"paralyser";"François de Rugy";-0,1382;1
"17968";"parme";"François de Rugy";-0,1382;1
"17969";"portion";"François de Rugy";-0,1382;1
"17970";"pot";"François de Rugy";-0,1382;1
"17971";"prérogative";"François de Rugy";-0,1382;1
"17972";"prescrire";"François de Rugy";-0,1382;1
"17973";"pressant";"François de Rugy";-0,1382;1
"17974";"prisme";"François de Rugy";-0,1382;1
"17975";"privatif";"François de Rugy";-0,1382;1
"17976";"probable";"François de Rugy";-0,1382;1
"17977";"procès";"François de Rugy";-0,1382;1
"17978";"process";"François de Rugy";-0,1382;1
"17979";"queue";"François de Rugy";-0,1382;1
"17980";"réaménager";"François de Rugy";-0,1382;1
"17981";"réclamer";"François de Rugy";-0,1382;1
"17982";"recomposition";"François de Rugy";-0,1382;1
"17983";"recouvrir";"François de Rugy";-0,1382;1
"17984";"rédiger";"François de Rugy";-0,1382;1
"17985";"réfléchissant";"François de Rugy";-0,1382;1
"17986";"réinsertion";"François de Rugy";-0,1382;1
"17987";"rempart";"François de Rugy";-0,1382;1
"17988";"renverser";"François de Rugy";-0,1382;1
"17989";"resserrer";"François de Rugy";-0,1382;1
"17990";"rétro";"François de Rugy";-0,1382;1
"17991";"rétroactif";"François de Rugy";-0,1382;1
"17992";"réversible";"François de Rugy";-0,1382;1
"17993";"ruche";"François de Rugy";-0,1382;1
"17994";"sangler";"François de Rugy";-0,1382;1
"17995";"saumon";"François de Rugy";-0,1382;1
"17996";"séjour";"François de Rugy";-0,1382;1
"17997";"sensation";"François de Rugy";-0,1382;1
"17998";"sorbon";"François de Rugy";-0,1382;1
"17999";"statistique";"François de Rugy";-0,1382;1
"18000";"superviser";"François de Rugy";-0,1382;1
"18001";"symboliser";"François de Rugy";-0,1382;1
"18002";"tablette";"François de Rugy";-0,1382;1
"18003";"tectonique";"François de Rugy";-0,1382;1
"18004";"totalisant";"François de Rugy";-0,1382;1
"18005";"tournesol";"François de Rugy";-0,1382;1
"18006";"vivier";"François de Rugy";-0,1382;1
"18007";"actionner";"Élisabeth Borne";-0,1391;1
"18008";"alexandra";"Élisabeth Borne";-0,1391;1
"18009";"allégation";"Élisabeth Borne";-0,1391;1
"18010";"approuvé";"Élisabeth Borne";-0,1391;1
"18011";"arabe";"Élisabeth Borne";-0,1391;1
"18012";"bienfait";"Élisabeth Borne";-0,1391;1
"18013";"bonifier";"Élisabeth Borne";-0,1391;1
"18014";"calvados";"Élisabeth Borne";-0,1391;1
"18015";"citadin";"Élisabeth Borne";-0,1391;1
"18016";"collecteur";"Élisabeth Borne";-0,1391;1
"18017";"combiné";"Élisabeth Borne";-0,1391;1
"18018";"conditionnement";"Élisabeth Borne";-0,1391;1
"18019";"congressiste";"Élisabeth Borne";-0,1391;1
"18020";"contradiction";"Élisabeth Borne";-0,1391;1
"18021";"déontologie";"Élisabeth Borne";-0,1391;1
"18022";"description";"Élisabeth Borne";-0,1391;1
"18023";"designer";"Élisabeth Borne";-0,1391;1
"18024";"distinction";"Élisabeth Borne";-0,1391;1
"18025";"emprunt";"Élisabeth Borne";-0,1391;1
"18026";"enfouir";"Élisabeth Borne";-0,1391;1
"18027";"enjoindre";"Élisabeth Borne";-0,1391;1
"18028";"esplanade";"Élisabeth Borne";-0,1391;1
"18029";"essuyer";"Élisabeth Borne";-0,1391;1
"18030";"exécution";"Élisabeth Borne";-0,1391;1
"18031";"fleur";"Élisabeth Borne";-0,1391;1
"18032";"freinage";"Élisabeth Borne";-0,1391;1
"18033";"genevois";"Élisabeth Borne";-0,1391;1
"18034";"gonflage";"Élisabeth Borne";-0,1391;1
"18035";"gorge";"Élisabeth Borne";-0,1391;1
"18036";"graver";"Élisabeth Borne";-0,1391;1
"18037";"homologué";"Élisabeth Borne";-0,1391;1
"18038";"huchet";"Élisabeth Borne";-0,1391;1
"18039";"incitation";"Élisabeth Borne";-0,1391;1
"18040";"interruption";"Élisabeth Borne";-0,1391;1
"18041";"interview";"Élisabeth Borne";-0,1391;1
"18042";"judicieux";"Élisabeth Borne";-0,1391;1
"18043";"kilo";"Élisabeth Borne";-0,1391;1
"18044";"lait";"Élisabeth Borne";-0,1391;1
"18045";"législateur";"Élisabeth Borne";-0,1391;1
"18046";"moduler";"Élisabeth Borne";-0,1391;1
"18047";"molécule";"Élisabeth Borne";-0,1391;1
"18048";"mousse";"Élisabeth Borne";-0,1391;1
"18049";"panache";"Élisabeth Borne";-0,1391;1
"18050";"paralyser";"Élisabeth Borne";-0,1391;1
"18051";"partisan";"Élisabeth Borne";-0,1391;1
"18052";"pédestre";"Élisabeth Borne";-0,1391;1
"18053";"pitre";"Élisabeth Borne";-0,1391;1
"18054";"poitevin";"Élisabeth Borne";-0,1391;1
"18055";"portion";"Élisabeth Borne";-0,1391;1
"18056";"potier";"Élisabeth Borne";-0,1391;1
"18057";"prérogative";"Élisabeth Borne";-0,1391;1
"18058";"pressant";"Élisabeth Borne";-0,1391;1
"18059";"privatif";"Élisabeth Borne";-0,1391;1
"18060";"procès";"Élisabeth Borne";-0,1391;1
"18061";"reconstituer";"Élisabeth Borne";-0,1391;1
"18062";"rédiger";"Élisabeth Borne";-0,1391;1
"18063";"réfléchissant";"Élisabeth Borne";-0,1391;1
"18064";"rempart";"Élisabeth Borne";-0,1391;1
"18065";"resserrer";"Élisabeth Borne";-0,1391;1
"18066";"rétro";"Élisabeth Borne";-0,1391;1
"18067";"saisonnier";"Élisabeth Borne";-0,1391;1
"18068";"sangler";"Élisabeth Borne";-0,1391;1
"18069";"sédiment";"Élisabeth Borne";-0,1391;1
"18070";"séjour";"Élisabeth Borne";-0,1391;1
"18071";"soucier";"Élisabeth Borne";-0,1391;1
"18072";"statistique";"Élisabeth Borne";-0,1391;1
"18073";"superviser";"Élisabeth Borne";-0,1391;1
"18074";"transformateur";"Élisabeth Borne";-0,1391;1
"18075";"tromper";"Élisabeth Borne";-0,1391;1
"18076";"trompeur";"Élisabeth Borne";-0,1391;1
"18077";"tuer";"Élisabeth Borne";-0,1391;1
"18078";"usuel";"Élisabeth Borne";-0,1391;1
"18079";"verbalisation";"Élisabeth Borne";-0,1391;1
"18080";"vidange";"Élisabeth Borne";-0,1391;1
"18081";"viral";"Élisabeth Borne";-0,1391;1
"18082";"visage";"Élisabeth Borne";-0,1391;1
"18083";"zoo";"Élisabeth Borne";-0,1391;1
"18084";"actionner";"Nicolas Hulot";-0,1563;1
"18085";"administré";"Nicolas Hulot";-0,1563;1
"18086";"alexandra";"Nicolas Hulot";-0,1563;1
"18087";"algue";"Nicolas Hulot";-0,1563;1
"18088";"allégation";"Nicolas Hulot";-0,1563;1
"18089";"annexer";"Nicolas Hulot";-0,1563;1
"18090";"anthropique";"Nicolas Hulot";-0,1563;1
"18091";"arbitrage";"Nicolas Hulot";-0,1563;1
"18092";"articulé";"Nicolas Hulot";-0,1563;1
"18093";"audacieux";"Nicolas Hulot";-0,1563;1
"18094";"auditionner";"Nicolas Hulot";-0,1563;1
"18095";"blessé";"Nicolas Hulot";-0,1563;1
"18096";"condensation";"Nicolas Hulot";-0,1563;1
"18097";"conditionnement";"Nicolas Hulot";-0,1563;1
"18098";"conjonction";"Nicolas Hulot";-0,1563;1
"18099";"contradiction";"Nicolas Hulot";-0,1563;1
"18100";"contradictoire";"Nicolas Hulot";-0,1563;1
"18101";"coupler";"Nicolas Hulot";-0,1563;1
"18102";"dame";"Nicolas Hulot";-0,1563;1
"18103";"décalage";"Nicolas Hulot";-0,1563;1
"18104";"décrypter";"Nicolas Hulot";-0,1563;1
"18105";"défenseur";"Nicolas Hulot";-0,1563;1
"18106";"delta";"Nicolas Hulot";-0,1563;1
"18107";"designer";"Nicolas Hulot";-0,1563;1
"18108";"diagnostiquer";"Nicolas Hulot";-0,1563;1
"18109";"distingué";"Nicolas Hulot";-0,1563;1
"18110";"dom";"Nicolas Hulot";-0,1563;1
"18111";"emprunt";"Nicolas Hulot";-0,1563;1
"18112";"enjoindre";"Nicolas Hulot";-0,1563;1
"18113";"enthousiasme";"Nicolas Hulot";-0,1563;1
"18114";"entraver";"Nicolas Hulot";-0,1563;1
"18115";"esplanade";"Nicolas Hulot";-0,1563;1
"18116";"fédérateur";"Nicolas Hulot";-0,1563;1
"18117";"fonctionnaire";"Nicolas Hulot";-0,1563;1
"18118";"francophonie";"Nicolas Hulot";-0,1563;1
"18119";"heurter";"Nicolas Hulot";-0,1563;1
"18120";"incertain";"Nicolas Hulot";-0,1563;1
"18121";"inflammable";"Nicolas Hulot";-0,1563;1
"18122";"intact";"Nicolas Hulot";-0,1563;1
"18123";"interruption";"Nicolas Hulot";-0,1563;1
"18124";"interview";"Nicolas Hulot";-0,1563;1
"18125";"joie";"Nicolas Hulot";-0,1563;1
"18126";"kérosène";"Nicolas Hulot";-0,1563;1
"18127";"latin";"Nicolas Hulot";-0,1563;1
"18128";"leu";"Nicolas Hulot";-0,1563;1
"18129";"lit";"Nicolas Hulot";-0,1563;1
"18130";"lucide";"Nicolas Hulot";-0,1563;1
"18131";"mali";"Nicolas Hulot";-0,1563;1
"18132";"médecine";"Nicolas Hulot";-0,1563;1
"18133";"mental";"Nicolas Hulot";-0,1563;1
"18134";"mondialisation";"Nicolas Hulot";-0,1563;1
"18135";"morale";"Nicolas Hulot";-0,1563;1
"18136";"mouillage";"Nicolas Hulot";-0,1563;1
"18137";"multitude";"Nicolas Hulot";-0,1563;1
"18138";"nationalité";"Nicolas Hulot";-0,1563;1
"18139";"notation";"Nicolas Hulot";-0,1563;1
"18140";"pale";"Nicolas Hulot";-0,1563;1
"18141";"pâques";"Nicolas Hulot";-0,1563;1
"18142";"partisan";"Nicolas Hulot";-0,1563;1
"18143";"pédestre";"Nicolas Hulot";-0,1563;1
"18144";"pitre";"Nicolas Hulot";-0,1563;1
"18145";"ponctuer";"Nicolas Hulot";-0,1563;1
"18146";"pot";"Nicolas Hulot";-0,1563;1
"18147";"préavis";"Nicolas Hulot";-0,1563;1
"18148";"prescrire";"Nicolas Hulot";-0,1563;1
"18149";"probable";"Nicolas Hulot";-0,1563;1
"18150";"process";"Nicolas Hulot";-0,1563;1
"18151";"queue";"Nicolas Hulot";-0,1563;1
"18152";"réaménager";"Nicolas Hulot";-0,1563;1
"18153";"redéfinition";"Nicolas Hulot";-0,1563;1
"18154";"rédiger";"Nicolas Hulot";-0,1563;1
"18155";"réinsertion";"Nicolas Hulot";-0,1563;1
"18156";"réinterroger";"Nicolas Hulot";-0,1563;1
"18157";"retraité";"Nicolas Hulot";-0,1563;1
"18158";"rotation";"Nicolas Hulot";-0,1563;1
"18159";"saturer";"Nicolas Hulot";-0,1563;1
"18160";"saumon";"Nicolas Hulot";-0,1563;1
"18161";"saurer";"Nicolas Hulot";-0,1563;1
"18162";"souffler";"Nicolas Hulot";-0,1563;1
"18163";"souplesse";"Nicolas Hulot";-0,1563;1
"18164";"superviser";"Nicolas Hulot";-0,1563;1
"18165";"suspecter";"Nicolas Hulot";-0,1563;1
"18166";"tablette";"Nicolas Hulot";-0,1563;1
"18167";"trésor";"Nicolas Hulot";-0,1563;1
"18168";"tuer";"Nicolas Hulot";-0,1563;1
"18169";"usuel";"Nicolas Hulot";-0,1563;1
"18170";"verbalisation";"Nicolas Hulot";-0,1563;1
"18171";"visage";"Nicolas Hulot";-0,1563;1
"18172";"viticole";"Nicolas Hulot";-0,1563;1
"18173";"accessoire";"Barbara Pompili";-0,1613;1
"18174";"accuser";"Barbara Pompili";-0,1613;1
"18175";"acquitter";"Barbara Pompili";-0,1613;1
"18176";"afférent";"Barbara Pompili";-0,1613;1
"18177";"aléatoire";"Barbara Pompili";-0,1613;1
"18178";"amoureux";"Barbara Pompili";-0,1613;1
"18179";"antillais";"Barbara Pompili";-0,1613;1
"18180";"appréciation";"Barbara Pompili";-0,1613;1
"18181";"arsenal";"Barbara Pompili";-0,1613;1
"18182";"assaut";"Barbara Pompili";-0,1613;1
"18183";"asseoir";"Barbara Pompili";-0,1613;1
"18184";"assimilé";"Barbara Pompili";-0,1613;1
"18185";"assurance";"Barbara Pompili";-0,1613;1
"18186";"audio";"Barbara Pompili";-0,1613;1
"18187";"baleine";"Barbara Pompili";-0,1613;1
"18188";"barbe";"Barbara Pompili";-0,1613;1
"18189";"barreau";"Barbara Pompili";-0,1613;1
"18190";"béarnais";"Barbara Pompili";-0,1613;1
"18191";"bienvenu";"Barbara Pompili";-0,1613;1
"18192";"bille";"Barbara Pompili";-0,1613;1
"18193";"blesser";"Barbara Pompili";-0,1613;1
"18194";"bourdon";"Barbara Pompili";-0,1613;1
"18195";"canalisation";"Barbara Pompili";-0,1613;1
"18196";"capitalisation";"Barbara Pompili";-0,1613;1
"18197";"cardinal";"Barbara Pompili";-0,1613;1
"18198";"ceinture";"Barbara Pompili";-0,1613;1
"18199";"centime";"Barbara Pompili";-0,1613;1
"18200";"cerner";"Barbara Pompili";-0,1613;1
"18201";"charentais";"Barbara Pompili";-0,1613;1
"18202";"charlotte";"Barbara Pompili";-0,1613;1
"18203";"chirurgical";"Barbara Pompili";-0,1613;1
"18204";"circularité";"Barbara Pompili";-0,1613;1
"18205";"clivage";"Barbara Pompili";-0,1613;1
"18206";"cluse";"Barbara Pompili";-0,1613;1
"18207";"cluster";"Barbara Pompili";-0,1613;1
"18208";"compact";"Barbara Pompili";-0,1613;1
"18209";"conquérant";"Barbara Pompili";-0,1613;1
"18210";"contrôleur";"Barbara Pompili";-0,1613;1
"18211";"copie";"Barbara Pompili";-0,1613;1
"18212";"cora";"Barbara Pompili";-0,1613;1
"18213";"corruption";"Barbara Pompili";-0,1613;1
"18214";"dé";"Barbara Pompili";-0,1613;1
"18215";"déconcentrer";"Barbara Pompili";-0,1613;1
"18216";"décourager";"Barbara Pompili";-0,1613;1
"18217";"décupler";"Barbara Pompili";-0,1613;1
"18218";"dérégler";"Barbara Pompili";-0,1613;1
"18219";"désir";"Barbara Pompili";-0,1613;1
"18220";"déstabiliser";"Barbara Pompili";-0,1613;1
"18221";"destructeur";"Barbara Pompili";-0,1613;1
"18222";"détente";"Barbara Pompili";-0,1613;1
"18223";"détour";"Barbara Pompili";-0,1613;1
"18224";"détournement";"Barbara Pompili";-0,1613;1
"18225";"dévastateur";"Barbara Pompili";-0,1613;1
"18226";"diligence";"Barbara Pompili";-0,1613;1
"18227";"dissuasif";"Barbara Pompili";-0,1613;1
"18228";"distraction";"Barbara Pompili";-0,1613;1
"18229";"dock";"Barbara Pompili";-0,1613;1
"18230";"dominer";"Barbara Pompili";-0,1613;1
"18231";"donateur";"Barbara Pompili";-0,1613;1
"18232";"doré";"Barbara Pompili";-0,1613;1
"18233";"drastique";"Barbara Pompili";-0,1613;1
"18234";"écluse";"Barbara Pompili";-0,1613;1
"18235";"écoulé";"Barbara Pompili";-0,1613;1
"18236";"élever";"Barbara Pompili";-0,1613;1
"18237";"émérite";"Barbara Pompili";-0,1613;1
"18238";"enregistrement";"Barbara Pompili";-0,1613;1
"18239";"éphémère";"Barbara Pompili";-0,1613;1
"18240";"équivaloir";"Barbara Pompili";-0,1613;1
"18241";"essayiste";"Barbara Pompili";-0,1613;1
"18242";"étayer";"Barbara Pompili";-0,1613;1
"18243";"facturer";"Barbara Pompili";-0,1613;1
"18244";"fertilisation";"Barbara Pompili";-0,1613;1
"18245";"filmer";"Barbara Pompili";-0,1613;1
"18246";"focaliser";"Barbara Pompili";-0,1613;1
"18247";"formalité";"Barbara Pompili";-0,1613;1
"18248";"formulé";"Barbara Pompili";-0,1613;1
"18249";"garenne";"Barbara Pompili";-0,1613;1
"18250";"géant";"Barbara Pompili";-0,1613;1
"18251";"gourmand";"Barbara Pompili";-0,1613;1
"18252";"gré";"Barbara Pompili";-0,1613;1
"18253";"guidage";"Barbara Pompili";-0,1613;1
"18254";"habituer";"Barbara Pompili";-0,1613;1
